index,img_name,initial_psnr,final_psnr,psnr_gain
1,101085.png,22.30069323585689,23.004870643196746,0.7041774073398557
2,101087.png,26.062351399271055,27.580142083164006,1.517790683892951
3,102061.png,24.995729063905845,26.086215491970307,1.0904864280644624
4,103070.png,28.66709956641049,29.870281096809304,1.2031815303988154
5,105025.png,24.735353354614436,25.455361865068916,0.7200085104544804
6,106024.png,30.45814684904475,32.36292229842995,1.9047754493852018
7,108005.png,24.150275785688592,25.41539226291111,1.2651164772225165
8,108070.png,22.08682835894394,22.65540416801417,0.5685758090702286
9,108082.png,25.403601210241977,26.623440126425525,1.219838916183548
10,109053.png,27.437409006966295,28.25291442322497,0.8155054162586737
11,119082.png,21.358098907297418,23.161453944973594,1.8033550376761767
12,12084.png,25.1136185577276,26.352520272093155,1.2389017143655536
13,123074.png,27.890362015367213,28.67924309849044,0.7888810831232256
14,126007.png,26.732474724975866,28.139260354363664,1.406785629387798
15,130026.png,23.783709035451835,24.538012499837933,0.7543034643860977
16,134035.png,21.475161733552955,23.250581740696266,1.7754200071433104
17,14037.png,31.25760384879976,32.82156842698464,1.5639645781848799
18,143090.png,29.945654513242896,31.512653869945193,1.566999356702297
19,145086.png,23.698539597058755,25.425120448036665,1.7265808509779106
20,147091.png,24.378193132025274,25.64197778309025,1.2637846510649773
21,148026.png,19.93315587886801,20.90572868115954,0.9725728022915305
22,148089.png,21.828804333516967,22.837522092298713,1.0087177587817457
23,156065.png,24.41060241779689,24.848721548982766,0.438119131185875
24,157055.png,24.271591417763364,25.347100282359435,1.0755088645960704
25,159008.png,24.456822635375566,26.109528183491,1.652705548115435
26,160068.png,25.27787483610933,26.45371139389571,1.1758365577863792
27,16077.png,25.712408417019432,26.720290006440315,1.007881589420883
28,163085.png,27.519421475699378,28.259680261310194,0.7402587856108163
29,167062.png,27.814121726023437,31.394680306201494,3.5805585801780566
30,167083.png,19.175860556316216,19.67138847275878,0.49552791644256544
31,170057.png,27.673511577579358,28.633432184775724,0.9599206071963664
32,175032.png,20.092060817747562,20.49233480911006,0.4002739913624964
33,175043.png,23.300924362787853,24.185208207612924,0.8842838448250703
34,182053.png,22.684264476405485,23.65966115999357,0.9753966835880838
35,189080.png,30.02930131823214,33.169038510938336,3.139737192706196
36,19021.png,24.899042631382773,26.16512463952628,1.2660820081435062
37,196073.png,27.55921439967827,27.899378385014117,0.34016398533584535
38,197017.png,26.335725402729846,27.455236801410035,1.1195113986801886
39,208001.png,26.400211322651007,27.437589493501257,1.0373781708502499
40,210088.png,27.969803646705042,32.23307990410491,4.26327625739987
41,21077.png,24.274635063225205,25.796196149753797,1.5215610865285925
42,216081.png,24.059360021199378,25.267738048331672,1.2083780271322944
43,219090.png,24.9533844942311,26.092638263303737,1.1392537690726385
44,220075.png,24.78629186816583,26.722056582166307,1.9357647140004772
45,223061.png,23.53301343316804,24.27605879839705,0.7430453652290083
46,227092.png,32.294479119552236,33.841302030001856,1.5468229104496203
47,229036.png,20.984305853863884,22.036569797527726,1.0522639436638421
48,236037.png,23.57745207919982,24.144851108475404,0.5673990292755846
49,24077.png,22.299399344118374,24.99481351670307,2.6954141725846945
50,241004.png,30.28488983200314,31.34505088087667,1.0601610488735282
51,241048.png,23.80420561695768,24.381446592153445,0.5772409751957639
52,253027.png,20.8664786502305,21.855354610809403,0.9888759605789019
53,253055.png,30.84780123039066,31.653033416680696,0.8052321862900342
54,260058.png,31.41564253791355,31.87129089299978,0.45564835508623247
55,271035.png,24.934430834826404,26.409106505520377,1.4746756706939728
56,285079.png,23.137710867025785,24.545610334192936,1.4078994671671516
57,291000.png,20.400750640578696,20.75949378554989,0.35874314497119286
58,295087.png,26.263146762988473,26.915255657062463,0.6521088940739901
59,296007.png,30.763458102015214,31.136314031187457,0.37285592917224264
60,296059.png,28.8003452840731,30.2971353035515,1.4967900194784
61,299086.png,30.53691709762238,31.195341977647256,0.658424880024878
62,300091.png,26.851816157093857,28.035973502297566,1.1841573452037082
63,302008.png,26.250911107423313,30.804749935887337,4.553838828464023
64,304034.png,22.74702591614556,23.402947724235393,0.6559218080898326
65,304074.png,24.253045044717695,25.347861359354752,1.0948163146370575
66,306005.png,26.100764401148044,27.22082797217966,1.120063571031615
67,3096.png,34.2757024116921,38.0871858019962,3.8114833903040974
68,33039.png,19.46741380832871,20.353734663967877,0.8863208556391662
69,351093.png,21.514200175659518,22.225658212479804,0.7114580368202859
70,361010.png,25.5724519943923,27.50119981546305,1.9287478210707505
71,37073.png,27.55958419580451,29.337178014172128,1.7775938183676168
72,376043.png,23.835793810181073,24.622974390059046,0.7871805798779725
73,38082.png,26.257728259801098,26.683485160973788,0.42575690117269005
74,38092.png,24.681382603937152,25.618878316000963,0.9374957120638108
75,385039.png,21.944929374892393,23.25683120576636,1.3119018308739676
76,41033.png,27.300832307853824,28.33880304128999,1.0379707334361647
77,41069.png,22.59160684710081,22.945457378094343,0.35385053099353314
78,42012.png,27.519874831730295,28.7394174518214,1.2195426200911044
79,42049.png,26.26545527683358,30.388594470363433,4.123139193529852
80,43074.png,29.149880484998953,29.586391624873183,0.43651113987423074
81,45096.png,32.88302587469061,34.57075982945609,1.687733954765477
82,54082.png,27.384706834463277,28.007954101899138,0.6232472674358611
83,55073.png,21.04583343407295,21.630236317800243,0.584402883727293
84,58060.png,20.39748927220367,20.882850102725943,0.4853608305222714
85,62096.png,22.6346157905479,24.263724358024387,1.6291085674764858
86,65033.png,23.574905428794256,24.33241539724826,0.7575099684540021
87,66053.png,25.830132724480347,26.535778526661986,0.705645802181639
