index,img_name,initial_psnr,final_psnr,psnr_gain
1,101085.png,22.30069323585689,23.105584753671724,0.8048915178148341
2,101087.png,26.062351399271055,27.715551296585133,1.653199897314078
3,102061.png,24.995729063905845,26.292398569763318,1.2966695058574729
4,103070.png,28.66709956641049,30.022730042384687,1.3556304759741984
5,105025.png,24.735353354614436,25.51994255023669,0.784589195622253
6,106024.png,30.45814684904475,32.5678333645556,2.109686515510848
7,108005.png,24.150275785688592,25.564198088156488,1.4139223024678955
8,108070.png,22.08682835894394,22.724400529979825,0.6375721710358846
9,108082.png,25.403601210241977,26.73888605080611,1.3352848405641318
10,109053.png,27.437409006966295,28.411910525629235,0.9745015186629402
11,119082.png,21.358098907297418,23.302993880535972,1.9448949732385543
12,12084.png,25.1136185577276,26.512658499887205,1.3990399421596038
13,123074.png,27.890362015367213,29.023960339053225,1.1335983236860123
14,126007.png,26.732474724975866,28.247831465073315,1.5153567400974488
15,130026.png,23.783709035451835,24.61408230037935,0.8303732649275162
16,134035.png,21.475161733552955,23.509155520931493,2.033993787378538
17,14037.png,31.25760384879976,33.344335639326886,2.086731790527125
18,143090.png,29.945654513242896,31.949980935269206,2.0043264220263097
19,145086.png,23.698539597058755,25.62952520337121,1.9309856063124542
20,147091.png,24.378193132025274,25.908306756964073,1.5301136249387994
21,148026.png,19.93315587886801,21.17295346666165,1.239797587793639
22,148089.png,21.828804333516967,22.994570888350594,1.1657665548336276
23,156065.png,24.41060241779689,24.93301526537564,0.5224128475787495
24,157055.png,24.271591417763364,25.587764490255392,1.3161730724920275
25,159008.png,24.456822635375566,26.299368142605164,1.8425455072295982
26,160068.png,25.27787483610933,26.651213219756233,1.373338383646903
27,16077.png,25.712408417019432,26.873291924757883,1.1608835077384505
28,163085.png,27.519421475699378,28.524743318677004,1.0053218429776258
29,167062.png,27.814121726023437,31.814090949184298,3.9999692231608606
30,167083.png,19.175860556316216,19.730631053668773,0.5547704973525569
31,170057.png,27.673511577579358,28.73446906042579,1.0609574828464332
32,175032.png,20.092060817747562,20.55141366066953,0.45935284292196954
33,175043.png,23.300924362787853,24.32208625189651,1.021161889108658
34,182053.png,22.684264476405485,23.696378777445137,1.0121143010396523
35,189080.png,30.02930131823214,33.978398881527546,3.949097563295407
36,19021.png,24.899042631382773,26.399209563197967,1.500166931815194
37,196073.png,27.55921439967827,27.98931531001045,0.4301009103321789
38,197017.png,26.335725402729846,27.643938137524163,1.308212734794317
39,208001.png,26.400211322651007,27.592130179251733,1.1919188566007257
40,210088.png,27.969803646705042,32.71750417374138,4.74770052703634
41,21077.png,24.274635063225205,25.993724743484922,1.7190896802597173
42,216081.png,24.059360021199378,25.411668222138324,1.3523082009389462
43,219090.png,24.9533844942311,26.260223429508148,1.3068389352770495
44,220075.png,24.78629186816583,27.072694231808345,2.286402363642516
45,223061.png,23.53301343316804,24.40830335516676,0.8752899219987178
46,227092.png,32.294479119552236,34.19719611201315,1.9027169924609169
47,229036.png,20.984305853863884,22.13058880497941,1.146282951115527
48,236037.png,23.57745207919982,24.27554625451695,0.6980941753171308
49,24077.png,22.299399344118374,25.40416108778655,3.1047617436681776
50,241004.png,30.28488983200314,31.58857477887965,1.3036849468765084
51,241048.png,23.80420561695768,24.478269483351507,0.6740638663938263
52,253027.png,20.8664786502305,21.97127196387966,1.1047933136491572
53,253055.png,30.84780123039066,31.909616621039532,1.0618153906488708
54,260058.png,31.41564253791355,32.09992856923394,0.68428603132039
55,271035.png,24.934430834826404,26.644869215643126,1.710438380816722
56,285079.png,23.137710867025785,24.78047824824351,1.6427673812177268
57,291000.png,20.400750640578696,20.840798382746758,0.440047742168062
58,295087.png,26.263146762988473,27.089275683316714,0.8261289203282409
59,296007.png,30.763458102015214,31.265892443161928,0.5024343411467136
60,296059.png,28.8003452840731,30.46675700890716,1.6664117248340595
61,299086.png,30.53691709762238,31.394465338737604,0.8575482411152251
62,300091.png,26.851816157093857,28.19040434198456,1.3385881848907033
63,302008.png,26.250911107423313,31.87320744293419,5.622296335510878
64,304034.png,22.74702591614556,23.46693710414977,0.7199111880042111
65,304074.png,24.253045044717695,25.472904582236687,1.2198595375189925
66,306005.png,26.100764401148044,27.422647526389692,1.3218831252416479
67,3096.png,34.2757024116921,38.509483904785746,4.233781493093645
68,33039.png,19.46741380832871,20.355481861188206,0.8880680528594951
69,351093.png,21.514200175659518,22.320182093242096,0.805981917582578
70,361010.png,25.5724519943923,27.855653010864458,2.283201016472159
71,37073.png,27.55958419580451,29.597925646388383,2.0383414505838715
72,376043.png,23.835793810181073,24.726809111941325,0.8910153017602518
73,38082.png,26.257728259801098,26.770598486442424,0.5128702266413256
74,38092.png,24.681382603937152,25.774923538295457,1.0935409343583053
75,385039.png,21.944929374892393,23.40945446407307,1.464525089180679
76,41033.png,27.300832307853824,28.437479813454193,1.1366475056003686
77,41069.png,22.59160684710081,23.025476227011477,0.4338693799106679
78,42012.png,27.519874831730295,28.952604682089056,1.4327298503587613
79,42049.png,26.26545527683358,30.82561149359653,4.560156216762948
80,43074.png,29.149880484998953,29.684442656168898,0.5345621711699451
81,45096.png,32.88302587469061,35.10384354738587,2.2208176726952615
82,54082.png,27.384706834463277,28.15011658192836,0.7654097474650818
83,55073.png,21.04583343407295,21.702505990096665,0.6566725560237145
84,58060.png,20.39748927220367,20.952556152025785,0.5550668798221139
85,62096.png,22.6346157905479,24.453354526707066,1.8187387361591654
86,65033.png,23.574905428794256,24.473439132044557,0.8985337032503011
87,66053.png,25.830132724480347,26.666783930931757,0.8366512064514104
